,adr,ame_d,count_accidents
193,BOULEVARD SAINT MARCEL,MOINS SECURISEE,4
194,BOULEVARD SAINT MARTIN,VOIE SECURISEE,1
195,BOULEVARD SAINT MICHEL,AUCUN,1
196,BOULEVARD SAINT MICHEL,VOIE SECURISEE,1
197,BOULEVARD SERURIER,VOIE SECURISEE,3
198,BOULEVARD SUCHET,MOINS SECURISEE,1
199,BOULEVARD VICTOR,MOINS SECURISEE,1
200,BOULEVARD VICTOR,VOIE SECURISEE,5
201,BOULEVARD VINCENT AURIOL,AUCUN,1
202,BOULEVARD VINCENT AURIOL,VOIE SECURISEE,1
203,BOULEVARD VOLTAIRE,AUCUN,10
204,BOULEVARD VOLTAIRE,MOINS SECURISEE,3
205,BOULEVARD VOLTAIRE,VOIE SECURISEE,8
206,BRIAND (AVENUE ARISTIDE) N° 2 A 98,MOINS SECURISEE,1
207,BROSSOLETTE AVENUE PIERRE,VOIE SECURISEE,3
208,Bd Paul Vaillant Couturier,MOINS SECURISEE,1
209,Boulevard de Stalingrad,VOIE SECURISEE,1
210,CAMELINAT,VOIE SECURISEE,1
211,CAMILLE DESMOULINS,VOIE SECURISEE,1
212,CAMILLE PELLETAN(RUE)17 + ET 14+,VOIE SECURISEE,1
213,"CHARLES DE GAULLE (AVENUE, N° 18 A 116)",MOINS SECURISEE,1
214,"CHARLES DE GAULLE (AVENUE,N°118 A 192 +",AUCUN,2
215,CHARLES GIDE (AV),MOINS SECURISEE,1
216,CHATEAUBRIAND RUE DE,VOIE SECURISEE,1
217,COURS ALBERT 1ER,VOIE SECURISEE,1
218,COURS DE VINCENNES,AUCUN,1
219,COURS DE VINCENNES,MOINS SECURISEE,1
220,COURS LA REINE,VOIE SECURISEE,1
221,Charles de gaulle,VOIE SECURISEE,3
222,DENIS PAPIN (R),AUCUN,1
223,DORMOY (AVENUE MARX),VOIE SECURISEE,1
224,ERNEST RENAN,AUCUN,1
225,ETIENNE DOLET (RUE),AUCUN,1
226,EXUPERY AVENUE SAINT,AUCUN,1
227,FABIEN (BOULEVARD DU COLONEL),AUCUN,1
228,FONTAINEBLEAU (AV DE),MOINS SECURISEE,1
229,FONTAINEBLEAU (AV DE),VOIE SECURISEE,2
230,FOUCHER LEPELLETIER,AUCUN,1
231,FRERES VOISIN (BOULEVARD DES),VOIE SECURISEE,1
232,GABRIEL PERI,VOIE SECURISEE,1
233,GALLIENI (BOULEVARD),AUCUN,1
234,GENERAL LECLERC,VOIE SECURISEE,2
235,HUGO (AVENUE VICTOR),MOINS SECURISEE,1
236,JACQUES DULUD (RUE),AUCUN,1
237,JEAN COMPAGNON (QU),VOIE SECURISEE,1
238,JEAN JAURES (BD) DE (1 A 45)   (2 A 54),AUCUN,1
239,JEAN JAURES(RUE) 1A55 ET 2A54,MOINS SECURISEE,1
240,"JEAN MERMOZ (BOULEVARD, N° 5 A 15)",VOIE SECURISEE,1
241,LAZARE CARNOT (RUE),AUCUN,1
242,LOUIS GIRARD (RUE),AUCUN,1
243,MARECHAL JOFFRE (QUAI DU),MOINS SECURISEE,1
244,MARTRE DE (4 A 54),MOINS SECURISEE,1
245,MICHELET (R),VOIE SECURISEE,1
246,PAIX (AVENUE DE LA),MOINS SECURISEE,2
247,PARIS AVENUE DE N° IMPAIRS,AUCUN,1
248,PARIS AVENUE DE N°2 A82,AUCUN,1
249,PARIS AVENUE DE N°84 A FIN,AUCUN,1
250,PARMENTIER (RUE),VOIE SECURISEE,1
251,PASSAGE THIERE,AUCUN,1
252,PASTEUR (AVENUE LOUIS) AUTRES NUMEROS,MOINS SECURISEE,1
253,PASTEUR (RUE),AUCUN,1
254,PASTEUR RUE,MOINS SECURISEE,1
255,PAUL VAILLANT COUTURIER (AV),AUCUN,1
256,PELLETAN RUE CAMILLE,AUCUN,1
257,PERI RUE GABRIEL AUTRES N°,VOIE SECURISEE,2
258,PERI RUE GABRIEL N°37 A 99,MOINS SECURISEE,1
259,PERI RUE GABRIEL N°38 A 82,AUCUN,1
260,PERIER RUE N°1 A 33 ET 2 A 26,AUCUN,1
261,PIERRE LAROUSSE (AVENUE),AUCUN,1
262,PLACE ABBE GEORGES HENOCQUE,AUCUN,1
263,PLACE CAMBRONNE,VOIE SECURISEE,1
264,PLACE CHARLES DE GAULLE,AUCUN,2
265,PLACE D ITALIE,MOINS SECURISEE,1
266,PLACE DE COLOMBIE,AUCUN,1
267,PLACE DE FONTENOY,MOINS SECURISEE,1
268,PLACE DE L ALMA,VOIE SECURISEE,1
269,PLACE DE L OPERA,MOINS SECURISEE,2
270,PLACE DE LA BASTILLE,AUCUN,2
271,PLACE DE LA BATAILLE DE STALINGRAD,MOINS SECURISEE,1
272,PLACE DE LA CONCORDE,MOINS SECURISEE,5
273,PLACE DE LA CONCORDE,VOIE SECURISEE,6
274,PLACE DE LA MADELEINE,MOINS SECURISEE,1
275,PLACE DE LA PORTE DE VERSAILLES,VOIE SECURISEE,1
