,name,mois_annee_comptage,sum_counts
297,77 Bd Richard Lenoir N-S,2019-04-01,39241.0
323,97 Avenue Denfert Rochereau SO-NE,2019-04-01,16228.0
271,72 Bd Richard Lenoir  S-N,2019-04-01,45725.0
347,Face au 16 Avenue de la  Porte des Ternes O-E,2019-04-01,11192.0
283,72 boulevard Voltaire NO-SE,2019-04-01,36037.0
335,Face 104 Rue d'Aubervilliers,2019-04-01,15540.0
257,7 Avenue de la Grande Armée NO-SE,2019-04-01,17747.0
460,face au 70 Quai de Bercy,2019-05-01,37284.0
284,72 boulevard Voltaire NO-SE,2019-05-01,63188.0
67,106 Avenue Denfert Rochereau NE-SO,2019-05-01,28938.0
204,35 Boulevard de Menilmontant NO-SE,2019-05-01,55960.0
122,18 quai de l'hotel de ville,2019-05-01,34781.0
7,10  avenue de la Grande Armée SE-NO,2019-05-01,8468.0
426,Pont du Garigliano SE-NO,2019-05-01,22340.0
372,Face au 48 quai de la marne,2019-05-01,95840.0
137,21 Boulevard Auguste Blanqui SO-NE,2019-05-01,12342.0
85,135 Avenue Daumesnil SE-NO,2019-05-01,36827.0
298,77 Bd Richard Lenoir N-S,2019-05-01,17.0
397,Pont National SO-NE,2019-05-01,15881.0
161,26 Boulevard de Ménilmontant SE-NO,2019-05-01,58018.0
360,Face au 25 quai de l'Oise,2019-05-01,46587.0
312,89 boulevard de Magenta NO-SE,2019-05-01,77022.0
149,243 Boulevard Saint Germain NO-SE,2019-05-01,26629.0
98,152 Boulevard du Montparnasse,2019-05-01,29971.0
324,97 Avenue Denfert Rochereau SO-NE,2019-05-01,12463.0
348,Face au 16 Avenue de la  Porte des Ternes O-E,2019-05-01,11276.0
414,Pont du Garigliano NO-SE,2019-05-01,29928.0
110,16 Avenue de la Porte des Ternes E-O,2019-05-01,8275.0
336,Face 104 Rue d'Aubervilliers,2019-05-01,3959.0
173,27 Boulevard Diderot E-O,2019-05-01,25260.0
55,105 Rue La Fayette E-O,2019-05-01,60309.0
187,28 Boulevard Diderot,2019-05-01,29115.0
246,67 boulevard Voltaire SE-NO,2019-05-01,57298.0
272,72 Bd Richard Lenoir  S-N,2019-05-01,33645.0
444,Voie Georges Pompidou,2019-05-01,49055.0
19,10 Bd Auguste Blanqui NE-SO,2019-05-01,16410.0
219,39 Quai François Mauriac,2019-05-01,49854.0
234,6 rue Julia Bartet,2019-05-01,49221.0
43,102 Bd magenta SE-NO,2019-05-01,67161.0
31,100 Rue La Fayette O-E,2019-05-01,28262.0
258,7 Avenue de la Grande Armée NO-SE,2019-05-01,15290.0
385,Pont National  NE-SO,2019-05-01,35155.0
235,6 rue Julia Bartet,2019-06-01,52662.0
361,Face au 25 quai de l'Oise,2019-06-01,2640.0
86,135 Avenue Daumesnil SE-NO,2019-06-01,39906.0
299,77 Bd Richard Lenoir N-S,2019-06-01,285.0
174,27 Boulevard Diderot E-O,2019-06-01,26881.0
386,Pont National  NE-SO,2019-06-01,37324.0
162,26 Boulevard de Ménilmontant SE-NO,2019-06-01,61329.0
32,100 Rue La Fayette O-E,2019-06-01,31381.0
150,243 Boulevard Saint Germain NO-SE,2019-06-01,29057.0
20,10 Bd Auguste Blanqui NE-SO,2019-06-01,18155.0
99,152 Boulevard du Montparnasse,2019-06-01,13287.0
349,Face au 16 Avenue de la  Porte des Ternes O-E,2019-06-01,12023.0
259,7 Avenue de la Grande Armée NO-SE,2019-06-01,17205.0
138,21 Boulevard Auguste Blanqui SO-NE,2019-06-01,13495.0
247,67 boulevard Voltaire SE-NO,2019-06-01,62754.0
325,97 Avenue Denfert Rochereau SO-NE,2019-06-01,12634.0
111,16 Avenue de la Porte des Ternes E-O,2019-06-01,2165.0
415,Pont du Garigliano NO-SE,2019-06-01,33545.0
398,Pont National SO-NE,2019-06-01,17455.0
123,18 quai de l'hotel de ville,2019-06-01,45218.0
313,89 boulevard de Magenta NO-SE,2019-06-01,80691.0
8,10  avenue de la Grande Armée SE-NO,2019-06-01,10999.0
337,Face 104 Rue d'Aubervilliers,2019-06-01,20119.0
427,Pont du Garigliano SE-NO,2019-06-01,23955.0
68,106 Avenue Denfert Rochereau NE-SO,2019-06-01,27333.0
44,102 Bd magenta SE-NO,2019-06-01,72152.0
373,Face au 48 quai de la marne,2019-06-01,121377.0
56,105 Rue La Fayette E-O,2019-06-01,64240.0
285,72 boulevard Voltaire NO-SE,2019-06-01,69666.0
445,Voie Georges Pompidou,2019-06-01,54539.0
220,39 Quai François Mauriac,2019-06-01,54001.0
188,28 Boulevard Diderot,2019-06-01,30105.0
461,face au 70 Quai de Bercy,2019-06-01,40783.0
205,35 Boulevard de Menilmontant NO-SE,2019-06-01,60582.0
273,72 Bd Richard Lenoir  S-N,2019-06-01,1442.0
151,243 Boulevard Saint Germain NO-SE,2019-07-01,33677.0
399,Pont National SO-NE,2019-07-01,19845.0
350,Face au 16 Avenue de la  Porte des Ternes O-E,2019-07-01,13296.0
9,10  avenue de la Grande Armée SE-NO,2019-07-01,13956.0
428,Pont du Garigliano SE-NO,2019-07-01,26122.0
374,Face au 48 quai de la marne,2019-07-01,130285.0
416,Pont du Garigliano NO-SE,2019-07-01,35131.0
260,7 Avenue de la Grande Armée NO-SE,2019-07-01,20973.0
206,35 Boulevard de Menilmontant NO-SE,2019-07-01,63171.0
139,21 Boulevard Auguste Blanqui SO-NE,2019-07-01,16284.0
57,105 Rue La Fayette E-O,2019-07-01,73889.0
274,72 Bd Richard Lenoir  S-N,2019-07-01,0.0
326,97 Avenue Denfert Rochereau SO-NE,2019-07-01,11932.0
248,67 boulevard Voltaire SE-NO,2019-07-01,69280.0
100,152 Boulevard du Montparnasse,2019-07-01,51205.0
21,10 Bd Auguste Blanqui NE-SO,2019-07-01,21053.0
221,39 Quai François Mauriac,2019-07-01,62813.0
286,72 boulevard Voltaire NO-SE,2019-07-01,77940.0
69,106 Avenue Denfert Rochereau NE-SO,2019-07-01,27730.0
124,18 quai de l'hotel de ville,2019-07-01,48317.0
362,Face au 25 quai de l'Oise,2019-07-01,75260.0
175,27 Boulevard Diderot E-O,2019-07-01,29959.0
387,Pont National  NE-SO,2019-07-01,33942.0
338,Face 104 Rue d'Aubervilliers,2019-07-01,24835.0
189,28 Boulevard Diderot,2019-07-01,33369.0
314,89 boulevard de Magenta NO-SE,2019-07-01,87209.0
300,77 Bd Richard Lenoir N-S,2019-07-01,1545.0
446,Voie Georges Pompidou,2019-07-01,64212.0
87,135 Avenue Daumesnil SE-NO,2019-07-01,42697.0
163,26 Boulevard de Ménilmontant SE-NO,2019-07-01,64572.0
462,face au 70 Quai de Bercy,2019-07-01,48330.0
236,6 rue Julia Bartet,2019-07-01,57997.0
33,100 Rue La Fayette O-E,2019-07-01,40037.0
45,102 Bd magenta SE-NO,2019-07-01,80806.0
112,16 Avenue de la Porte des Ternes E-O,2019-07-01,7984.0
339,Face 104 Rue d'Aubervilliers,2019-08-01,21222.0
375,Face au 48 quai de la marne,2019-08-01,75751.0
400,Pont National SO-NE,2019-08-01,16008.0
10,10  avenue de la Grande Armée SE-NO,2019-08-01,11225.0
58,105 Rue La Fayette E-O,2019-08-01,58145.0
101,152 Boulevard du Montparnasse,2019-08-01,38323.0
351,Face au 16 Avenue de la  Porte des Ternes O-E,2019-08-01,9088.0
34,100 Rue La Fayette O-E,2019-08-01,31346.0
88,135 Avenue Daumesnil SE-NO,2019-08-01,35320.0
388,Pont National  NE-SO,2019-08-01,10250.0
363,Face au 25 quai de l'Oise,2019-08-01,56777.0
70,106 Avenue Denfert Rochereau NE-SO,2019-08-01,23312.0
113,16 Avenue de la Porte des Ternes E-O,2019-08-01,6428.0
46,102 Bd magenta SE-NO,2019-08-01,63791.0
22,10 Bd Auguste Blanqui NE-SO,2019-08-01,16094.0
287,72 boulevard Voltaire NO-SE,2019-08-01,58872.0
152,243 Boulevard Saint Germain NO-SE,2019-08-01,25628.0
315,89 boulevard de Magenta NO-SE,2019-08-01,67996.0
463,face au 70 Quai de Bercy,2019-08-01,37706.0
447,Voie Georges Pompidou,2019-08-01,47101.0
275,72 Bd Richard Lenoir  S-N,2019-08-01,0.0
222,39 Quai François Mauriac,2019-08-01,50771.0
164,26 Boulevard de Ménilmontant SE-NO,2019-08-01,48790.0
190,28 Boulevard Diderot,2019-08-01,24799.0
429,Pont du Garigliano SE-NO,2019-08-01,19052.0
140,21 Boulevard Auguste Blanqui SO-NE,2019-08-01,13041.0
207,35 Boulevard de Menilmontant NO-SE,2019-08-01,50003.0
327,97 Avenue Denfert Rochereau SO-NE,2019-08-01,8732.0
301,77 Bd Richard Lenoir N-S,2019-08-01,1769.0
176,27 Boulevard Diderot E-O,2019-08-01,23228.0
125,18 quai de l'hotel de ville,2019-08-01,36745.0
417,Pont du Garigliano NO-SE,2019-08-01,26382.0
261,7 Avenue de la Grande Armée NO-SE,2019-08-01,14761.0
249,67 boulevard Voltaire SE-NO,2019-08-01,54046.0
237,6 rue Julia Bartet,2019-08-01,42049.0
288,72 boulevard Voltaire NO-SE,2019-09-01,99605.0
